Utilisé pour l'entrainement,Titre,Categorie,Créateur,Durée,Nombre de vues,Date de publication
,Mon ami choisit tous les défis sportifs de la journée,Sport,Défi Max,2:54,548 k vues,Il y a 10 jours
,Je pensais que le badminton était facile... j'avais complètement tort,Sport,Objectif Sport,3:29,438 k vues,Il y a 11 jours
,Les cinq plus belles attrapées au baseball cette saison,Sport,Zone Sport,1:51,906 k vues,Il y a 1 mois
,J'essaie le golf pour la première fois... où est passée la balle ?,Sport,Altitude+,3:13,359 k vues,Il y a 2 semaines
,Comment réussir un meilleur départ en course sans courir plus vite,Sport,Coach Alex,2:28,775 k vues,Il y a 9 jours
,On joue au hockey avec des règles complètement inventées,Sport,Défi Max,2:57,"1,5 M vues",Il y a 4 jours
,Le plus beau terrain de basketball que j'ai visité,Sport,Objectif Sport,2:42,304 k vues,Il y a 2 semaines
,J'ai demandé à une IA de préparer mon entraînement sportif,Sport,SportLab,3:47,632 k vues,Il y a 1 semaine
,Pourquoi les nageurs portent-ils parfois deux bonnets ?,Sport,Zone Sport,1:36,427 k vues,Il y a 3 semaines
,Le défi des passes parfaites... personne ne s'attendait à cette fin,Sport,Défi Max,2:13,689 k vues,Il y a 12 jours
,Je découvre le tir à l'arc et je vise le centre dès le premier essai,Sport,Altitude+,3:34,266 k vues,Il y a 6 jours
,Les erreurs que je faisais chaque fois avant un match de soccer,Sport,Coach Alex,1:58,958 k vues,Il y a 2 mois
,Cette compétition amicale est devenue beaucoup plus sérieuse que prévu,Sport,Zone Sport,2:52,581 k vues,Il y a 8 jours
,Mon plus beau souvenir de tournoi... et ce n'est même pas une victoire,Sport,Objectif Sport,3:32,342 k vues,Il y a 5 semaines
,Je compare un ballon de soccer à 15 $ avec un ballon professionnel,Sport,SportLab,2:34,843 k vues,Il y a 1 semaine
,Le défi de l'équilibre sur slackline... combien de temps vais-je tenir ?,Sport,Altitude+,2:20,493 k vues,Il y a 13 jours
,Je joue un match complet... sans jamais parler à mon équipe,Sport,Défi Max,2:28,584 k vues,Il y a 9 jours
,Ce lancer franc semblait impossible... jusqu'à aujourd'hui,Sport,Coach Alex,1:49,927 k vues,Il y a 2 semaines
,J'ai essayé le biathlon pour la toute première fois,Sport,Objectif Sport,3:40,362 k vues,Il y a 1 semaine
,Pourquoi les gardiens de hockey tapent-ils leurs poteaux ?,Sport,Zone Sport,1:40,418 k vues,Il y a 3 semaines
,Je relève le défi des 1 000 passes avec mes amis,Sport,Défi Max,3:01,713 k vues,Il y a 12 jours
,Le sport qui brûle le plus de calories... le résultat m'a surpris,Sport,SportLab,2:52,"1,3 M vues",Il y a 1 mois
,J'ai appris à faire un salto... avec un vrai entraîneur,Sport,Altitude+,3:56,806 k vues,Il y a 5 jours
,Cette technique m'a enfin permis de réussir un service au volleyball,Sport,Coach Alex,2:13,276 k vues,Il y a 2 semaines
,Mon premier entraînement de boxe a été beaucoup plus intense que prévu,Sport,Objectif Sport,3:11,539 k vues,Il y a 8 jours
,Tu marques le point gagnant devant toute l'école 🏐,Sport,Zone Sport,0:06,"2,8 M vues",Il y a 4 jours
,On échange nos sports préférés pendant une journée complète,Sport,Défi Max,3:21,447 k vues,Il y a 10 jours
,Le plus beau plongeon que j'aie réussi cet été,Sport,Altitude+,2:02,694 k vues,Il y a 3 semaines
,Pourquoi les professionnels s'échauffent-ils toujours de cette façon ?,Sport,Coach Alex,2:05,811 k vues,Il y a 6 jours
,Je découvre un terrain caché en pleine forêt,Sport,Objectif Sport,3:49,225 k vues,Il y a 2 semaines
,Le défi du ballon géant... c'était beaucoup plus drôle que prévu !,Sport,Défi Max,2:40,"1,6 M vues",Il y a 1 semaine
,J'ai testé les chaussures les moins chères contre les plus populaires,Sport,SportLab,2:58,591 k vues,Il y a 2 mois
,Cette remontée restera la plus incroyable de notre saison,Sport,Zone Sport,2:50,482 k vues,Il y a 9 jours
,Peut-on vraiment améliorer son équilibre en 7 jours ?,Sport,Coach Alex,2:23,367 k vues,Il y a 11 jours
,Je participe à une compétition sans connaître les règles... ou presque,Sport,Objectif Sport,3:42,304 k vues,Il y a 4 semaines
,Les cinq erreurs que j'aurais aimé éviter en skateboard,Sport,Altitude+,2:16,638 k vues,Il y a 13 jours
,J'affronte une équipe composée uniquement d'entraîneurs,Sport,Zone Sport,3:09,774 k vues,Il y a 5 jours
,Mon petit frère devient mon coach pendant 24 heures,Sport,Défi Max,1:56,988 k vues,Il y a 2 semaines
,Le défi des tirs impossibles... combien vais-je en réussir ?,Sport,SportLab,2:37,853 k vues,Il y a 3 jours
,Je découvre pourquoi les sportifs adorent autant l'escalade,Sport,Altitude+,3:29,289 k vues,Il y a 1 semaine
,Le meilleur conseil sportif que j'ai reçu cette année,Sport,Coach Alex,1:45,"1,1 M vues",Il y a 3 semaines
,J'ai essayé le soccer avec les yeux bandés... enfin presque !,Sport,Zone Sport,2:39,684 k vues,Il y a 5 jours
,Le panier le plus chanceux que j'aie marqué de toute ma vie,Sport,Défi Max,1:52,"1,2 M vues",Il y a 2 semaines
,Peut-on apprendre un nouveau sport en une seule journée ?,Sport,SportLab,3:48,437 k vues,Il y a 1 semaine
,Mon grand-père m'a lancé un défi de hockey que je n'oublierai jamais,Sport,Zone Sport,3:02,592 k vues,Il y a 3 semaines
,J'ai couru mon premier 5 km... et je ne m'attendais pas à ça,Sport,Objectif Sport,3:30,311 k vues,Il y a 6 jours
,Pourquoi tous les débutants font cette erreur au basketball ?,Sport,Coach Alex,2:09,908 k vues,Il y a 2 mois
,Le match le plus drôle qu'on ait joué entre amis 😂,Sport,Défi Max,2:01,"1,8 M vues",Il y a 10 jours
,Je teste les exercices d'entraînement d'un joueur professionnel,Sport,SportLab,3:16,526 k vues,Il y a 2 semaines
,Cette règle du volleyball surprend toujours les nouveaux joueurs,Sport,Coach Alex,1:39,264 k vues,Il y a 8 jours
,Tu réussis enfin ton premier dunk 🏀,Sport,Zone Sport,0:06,"3,7 M vues",Il y a 4 jours
,J'ai affronté mon professeur au tennis... le résultat est inattendu,Sport,Défi Max,2:48,761 k vues,Il y a 1 semaine
,Pourquoi le surf est beaucoup plus difficile qu'il n'y paraît,Sport,Objectif Sport,3:33,419 k vues,Il y a 3 semaines
,Le défi des 100 jongles au soccer... mission accomplie ?,Sport,SportLab,2:25,602 k vues,Il y a 12 jours
,J'ai découvert un sport dont je n'avais jamais entendu parler,Sport,Objectif Sport,4:01,278 k vues,Il y a 9 jours
,Mon premier cours d'escalade a complètement changé ma façon de voir ce sport,Sport,Altitude+,3:32,344 k vues,Il y a 2 semaines
,Je pensais être rapide... jusqu'à cette course,Sport,Zone Sport,1:56,489 k vues,Il y a 5 jours
,Le plus beau but de notre tournoi scolaire,Sport,Défi Max,1:25,"1,4 M vues",Il y a 1 mois
,Comment améliorer ton tir sans t'entraîner plus longtemps,Sport,Coach Alex,2:35,836 k vues,Il y a 2 semaines
,Une journée complète dans la peau d'un gardien de but,Sport,Objectif Sport,3:55,391 k vues,Il y a 11 jours
,Je laisse une roue choisir mon sport de la journée,Sport,SportLab,3:06,547 k vues,Il y a 4 jours
,Le skateboard semblait facile... jusqu'à ma première descente,Sport,Altitude+,2:07,613 k vues,Il y a 13 jours
,Le secret des athlètes pour rester motivés toute l'année,Sport,Coach Alex,1:48,952 k vues,Il y a 1 mois
,Mon équipe perdait 5 à 0... puis tout a changé,Sport,Zone Sport,3:13,722 k vues,Il y a 6 jours
,Je compare cinq ballons de soccer sans regarder leur marque,Sport,SportLab,2:28,308 k vues,Il y a 3 semaines
,Le défi sportif le plus amusant à essayer avec tes amis,Sport,Défi Max,0:33,"1,1 M vues",Il y a 8 jours
2,Comment casser des oeufs sans percer les jaunes?,Cuisine,Les Recettes de Mia,7:36,"1,1 M vues",Il y a 1 mois
2,J'ai réussi les meilleures crêpes au monde,Cuisine,Chef Léo,1:47,678 k vues,Il y a 3 semaines
2,Le défi du petit-déjeuner arc-en-ciel 🌈,Cuisine,FoodLab,2:19,905 k vues,Il y a 2 jours
2,Peut-on faire des crêpes avec seulement 3 ingrédients?,Cuisine,Défi Cuisine,3:54,357 k vues,Il y a 12 jours
2,Je prépare un déjeuner en moins de 5 minutes!,Cuisine,Cuisine Express,6:44,742 k vues,Il y a 5 mois
2,Les céréales les plus étranges du monde… testées!,Cuisine,Les Recettes de Mia,0:31,609 k vues,Il y a 4 jours
2,Mon frère choisit tous les ingrédients de mon déjeuner!,Cuisine,Chef Léo,10:15,483 k vues,Il y a 3 mois
2,J’ai transformé des fruits en personnages rigolos 🍓,Cuisine,Défi Cuisine,11:18,156 k vues,Il y a 1 semaine
2,La toast le plus drôle que j’ai jamais préparé!,Cuisine,FoodLab,9:52,271 k vues,Il y a 9 jours
2,Défi : cuisiner un déjeuner sans utiliser de cuillère!,Cuisine,Chef Léo,6:06,512 k vues,Il y a 2 semaines
2,5 idées de déjeuners qui ressemblent à des desserts,Cuisine,Les Recettes de Mia,4:42,391 k vues,Il y a 11 jours
2,On goûte des confitures aux saveurs complètement folles!,Cuisine,Cuisine Express,1:09,829 k vues,Il y a 6 jours
2,J’ai essayé de reproduire un déjeuner vu dans un dessin animé,Cuisine,Chef Léo,8:39,"1,3 M vues",Il y a 1 mois
2,Qui prépare le meilleur smoothie surprise?,Cuisine,FoodLab,11:58,447 k vues,Il y a 2 mois
2,Les pires erreurs à éviter quand on fait des pancakes,Cuisine,Défi Cuisine,3:27,233 k vues,Il y a 2 semaines
2,Défi cuisine : les yeux bandés pour préparer le déjeuner!,Cuisine,Cuisine Express,7:58,690 k vues,Il y a 1 semaine
2,Mon déjeuner est entièrement… bleu! 💙,Cuisine,FoodLab,5:51,584 k vues,Il y a 9 jours
2,Je prépare un déjeuner digne d’un champion de sport,Cuisine,Les Recettes de Mia,9:34,411 k vues,Il y a 3 semaines
2,Les 7 meilleures garnitures pour rendre les gaufres incroyables,Cuisine,Chef Léo,0:18,768 k vues,Il y a 5 jours
2,Peut-on cuisiner un déjeuner avec un mini gaufrier?,Cuisine,Les Recettes de Mia,2:07,925 k vues,Il y a 2 semaines
2,Le défi des ingrédients cachés : sauras-tu les deviner?,Cuisine,Cuisine Express,10:49,352 k vues,Il y a 1 mois
2,J’ai recréé mon déjeuner préféré avec seulement des fruits,Cuisine,Chef Léo,9:36,241 k vues,Il y a 8 jours
2,Les astuces secrètes pour des œufs brouillés parfaits,Cuisine,FoodLab,11:53,"1,6 M vues",Il y a 4 semaines
2,Défi : préparer un déjeuner avec ce qu’il reste dans le frigo,Cuisine,Défi Cuisine,3:24,507 k vues,Il y a 12 jours
2,Les smoothies les plus colorés qu’on ait jamais préparés!,Cuisine,FoodLab,8:42,398 k vues,Il y a 6 jours
2,On invente des céréales aux saveurs impossibles!,Cuisine,Cuisine Express,7:55,"1,2 M vues",Il y a 2 mois
2,Je prépare un déjeuner inspiré d’un jeu vidéo,Cuisine,Les Recettes de Mia,1:46,284 k vues,Il y a 1 semaine
2,Les 10 décorations les plus amusantes pour des pancakes,Cuisine,Les Recettes de Mia,4:42,391 k vues,Il y a 11 jours
2,Défi : cuisiner un déjeuner en lançant un dé!,Cuisine,Cuisine Express,1:09,829 k vues,Il y a 6 jours
2,J’ai essayé les recettes de déjeuner les plus populaires d’Internet,Cuisine,Chef Léo,8:39,"1,3 M vues",Il y a 1 mois
2,Peut-on faire un déjeuner délicieux sans sucre ajouté?,Cuisine,FoodLab,11:58,447 k vues,Il y a 2 mois
2,Le concours du plus beau bol de yogourt!,Cuisine,Défi Cuisine,3:27,233 k vues,Il y a 2 semaines
